time,flux,flux_err,band
62057.154,-3.6887,0.7695,z
62086.1733,-2.1846,0.1189,r
62086.1733,-1.9947,0.1801,i
62095.8464,-1.8571,0.213,r
62095.8464,-1.9917,0.2487,i
62110.3561,-2.4709,0.7263,y
62139.3755,-2.3384,0.1833,r
62139.3755,-2.372,0.2558,i
62139.3755,-2.7561,0.3931,z
62149.0486,-0.5654,0.2368,u
62149.0486,-1.9595,0.0974,r
62178.0679,-1.2436,0.2633,u
62178.0679,-2.1513,0.1616,r
62182.9045,-1.4365,0.0796,g
62182.9045,-2.0108,0.1879,r
62216.7604,0.9461,0.326,i
62226.4335,1.2942,1.1463,y
62371.5303,9.2439,0.5687,z
62371.5303,8.7491,1.1479,y
62400.5496,1.513,0.6199,i
62400.5496,1.4874,0.9162,z
62482.7711,23.1767,0.1683,r
62487.6077,33.0951,0.2382,i
62487.6077,30.7276,0.3357,z
62502.1174,22.4125,0.3387,u
62502.1174,38.1027,0.1358,r
62511.7905,14.8586,0.1109,g
62511.7905,17.3329,0.1711,r
62516.6271,8.4105,1.6832,y
62555.3195,2.6616,0.1005,g
62555.3195,2.9485,0.1795,r
62564.9926,0.5241,0.3271,u
62564.9926,1.6034,0.1184,g
62594.012,-0.1308,0.1588,g
62845.513,-3.6894,1.3822,y
62889.0421,-1.2954,0.3265,u
62889.0421,-2.7696,0.1291,r
63140.5431,-2.0496,0.4014,i
63150.2162,-2.7935,0.4423,z
63155.0528,-3.5792,0.1893,r
63164.7259,-3.38,0.395,z
63203.4184,-4.199,0.2321,i
63203.4184,-3.8738,0.3569,z
63208.2549,-3.5788,0.1298,g
63208.2549,-4.3682,0.1069,r
63242.1108,-2.0467,0.36,u
63242.1108,-3.4665,0.1198,g
63256.6205,-3.3442,1.0179,y
63275.9668,-2.7605,0.1421,g
63275.9668,-3.2923,0.2173,r
63304.9861,-3.2321,0.1813,g
63304.9861,-4.0888,0.232,r
63309.8227,-3.3936,0.5246,i
63309.8227,-5.0448,1.1974,z
63493.6119,-4.9805,0.8876,y
63532.3044,-3.8476,0.1778,i
63546.814,-3.9565,0.1861,r
63556.4872,-3.0911,0.3825,i
63570.9968,-2.1087,0.3367,u
63570.9968,-3.5033,0.1632,r
63604.8527,-3.5411,0.8054,y
63614.5259,-3.2171,0.2171,i
63614.5259,-2.9896,0.3169,z
63629.0355,-2.8276,0.0565,g
63629.0355,-3.2094,0.088,r
63638.7087,-3.8244,0.5951,z
63638.7087,-4.5661,1.5306,y
63643.5452,1.3133,1.329,y
63648.3818,-2.7632,0.1589,g
63648.3818,-3.116,0.2154,r
63928.9022,-2.8615,0.2901,u
63928.9022,-4.9547,0.1662,r
63996.614,-4.4033,0.564,z
63996.614,-4.3809,1.5126,y
64006.2871,-4.7984,0.148,r
64006.2871,-4.7127,0.2707,i
64059.4893,-5.3326,0.3121,r
64252.9516,-5.3377,0.1876,i
64267.4613,-6.0043,0.2249,i
64267.4613,-5.1609,0.5414,z
64281.971,-5.8045,0.09,r
64281.971,-5.8424,0.1611,i
64286.8075,-5.8414,0.1463,r
64286.8075,-5.3797,0.1999,i
64291.6441,-4.9941,0.5812,i
64291.6441,-6.1067,0.5551,z
64296.4806,-4.9565,0.0795,g
64296.4806,-6.0794,0.1096,r
64315.8269,-5.7624,0.3651,z
64325.5,-6.1053,0.194,r
64325.5,-5.6368,0.2232,i
64330.3365,-5.4125,0.3017,i
64330.3365,-5.2477,0.3653,z
64344.8462,-4.5931,0.9817,y
64369.029,-4.9708,0.411,i
64369.029,-5.0886,0.8311,z
64378.7021,-4.5366,0.8215,y
64383.5387,-4.3035,0.191,g
64383.5387,-5.1634,0.2157,r
64393.2118,-4.1375,0.2786,i
64393.2118,-4.1744,0.5453,z
64398.0484,-3.0427,0.5437,i
64398.0484,-4.0226,0.6216,z
64402.8849,-5.5868,1.5647,y
64562.4914,-2.9534,0.4585,z
64620.5301,-3.151,0.224,r
64625.3666,-3.2597,0.2775,z
64630.2032,-3.0381,0.085,r
64630.2032,-3.0977,0.1771,i
