time,flux,flux_err,band
60998.1351,-0.1762,0.7225,z
61000.5793,-0.1813,0.408,z
61003.0236,-0.2452,0.1948,i
61007.912,-0.8371,0.9775,y
61020.1332,0.2362,0.2216,r
61032.3544,0.9301,0.4208,z
61047.0198,-0.0394,0.3609,g
61047.0198,0.2668,0.2394,r
61047.0198,0.6411,0.8715,y
61049.464,0.0208,0.2965,i
61064.1294,0.1982,0.2229,u
61064.1294,0.3063,0.1495,r
61076.3506,-0.389,0.3633,g
61081.239,-0.2088,0.1702,r
61091.016,-0.5828,0.5929,i
61091.016,-0.655,0.4909,z
61103.2371,0.0894,0.4,i
61103.2371,0.7073,0.4016,z
61115.4583,-0.4769,0.2325,u
61130.1237,-0.1302,0.4188,i
61130.1237,-0.547,0.5489,z
61137.4564,0.3187,0.5246,i
61149.6776,0.2689,0.1663,r
61149.6776,-0.0695,0.2287,i
61157.0103,-3.2273,1.6541,y
61335.4394,0.3091,0.1408,r
61335.4394,0.1547,0.1977,i
61359.8817,-1.2037,1.1969,y
61362.3259,0.2089,0.3622,i
61367.2144,-0.7785,0.3842,i
61367.2144,1.6859,0.7773,z
61435.653,-0.3955,0.1743,r
61435.653,-0.3587,0.2075,i
61440.5414,-0.0258,0.1833,r
61440.5414,0.0029,0.3045,i
61450.3184,-0.8757,1.1883,y
61467.428,0.0244,0.1146,r
61467.428,-0.0463,0.18,i
61474.7607,-0.4393,0.3182,u
61474.7607,-0.2694,0.1876,r
61479.6492,0.9465,0.858,z
61479.6492,0.7572,1.946,y
61489.4261,-0.8789,0.2804,i
61489.4261,0.0595,0.4543,z
61494.3146,0.0419,0.0919,g
61494.3146,-0.2816,0.1392,r
61499.203,0.0644,0.2046,i
61499.203,-0.2421,0.278,z
61511.4242,-0.7006,1.1353,y
61513.8684,-0.2847,0.9436,y
61560.3089,-2.2485,0.9896,r
61714.2956,-0.1778,0.1531,r
61714.2956,-0.3355,0.2163,i
61719.1841,0.0097,0.1947,i
61719.1841,-0.2901,0.329,z
61724.0725,0.0171,1.1471,y
61743.6264,-0.0425,0.1539,r
61743.6264,-0.1367,0.2001,i
61753.4034,0.6638,1.1388,y
61758.2918,-0.0212,0.1831,r
61758.2918,-0.2222,0.2192,i
61758.2918,0.2915,0.3464,z
61758.2918,1.1613,0.9009,y
61760.7361,0.0224,0.4124,z
61765.6245,-0.1256,0.2044,u
61765.6245,-0.1211,0.1223,r
61768.0688,0.1039,0.2937,u
61768.0688,0.0261,0.1517,r
61775.4015,0.2843,0.3808,z
61777.8457,0.356,0.3133,z
61785.1784,0.2932,0.3574,i
61785.1784,-0.2574,0.4901,z
61787.6226,-0.1746,0.4176,z
61787.6226,1.0481,1.2239,y
61790.0669,0.2004,0.0982,g
61790.0669,0.0884,0.1597,r
61797.3996,0.1379,0.1687,i
61797.3996,0.2971,0.2822,z
61799.8438,-0.2293,0.3079,u
61799.8438,-0.0939,0.1075,g
61802.288,-0.0252,0.1302,r
61802.288,-0.2001,0.2096,i
61804.7323,-1.8373,0.9735,y
61812.065,-0.2984,0.486,i
61812.065,-0.2278,0.5014,z
61814.5092,0.3915,0.2665,i
61814.5092,-0.0594,0.3685,z
61816.9534,0.1169,0.1314,r
61821.8419,-0.4028,0.3041,u
61821.8419,-0.2025,0.1329,r
61841.3958,-1.7644,1.4519,y
61848.7285,0.133,0.2518,i
61856.0612,0.1381,0.1453,g
61856.0612,0.1334,0.1611,r
61860.9496,0.166,0.4231,i
61860.9496,0.1504,0.4666,z
61868.2823,0.1818,0.3777,i
61868.2823,0.7644,0.6261,z
61870.7266,-0.4306,0.414,i
61870.7266,-1.0853,0.4305,z
61870.7266,-0.6582,1.0754,y
62124.9269,-0.1242,0.1733,i
62124.9269,0.2722,0.3518,z
62127.3711,-0.1303,0.1299,r
62134.7038,-1.211,0.8936,y
62205.5866,-0.2604,0.3375,u
62205.5866,-0.0098,0.1465,r
62381.5715,2.15,1.7014,z
62498.8947,0.2779,0.155,r
62506.2274,-0.3635,0.3738,u
62506.2274,0.1445,0.1366,r
62513.5601,-0.1088,0.5601,z
62513.5601,-0.0543,1.2221,y
62535.5582,-0.4998,0.2637,i
