time,flux,flux_err,band
60994.3752,0.6112,0.4551,z
61009.5305,0.2807,1.0617,y
61012.5615,0.7615,0.4813,z
61015.5926,0.148,0.4376,g
61018.6237,-0.1679,0.3059,g
61018.6237,-0.4271,0.3576,r
61027.7168,0.4681,0.2896,u
61027.7168,0.0732,0.1461,r
61030.7479,-0.1271,0.3314,u
61042.8721,-2.2225,2.0408,y
61064.0896,-0.2286,0.249,i
61070.1517,-0.4444,1.2154,y
61109.5554,0.0371,0.1573,r
61115.6176,0.0447,0.2136,i
61139.866,0.2919,0.2342,r
61139.866,0.1483,0.4548,i
61151.9903,0.3216,0.3622,i
61151.9903,-0.0481,0.8316,z
61294.4501,-0.0771,0.1483,r
61297.4811,0.0214,0.11,r
61297.4811,0.0735,0.2091,i
61327.7917,0.6254,0.4326,i
61364.1644,0.4325,0.369,i
61364.1644,-0.3652,0.5719,z
61370.2265,0.4573,0.3928,r
61370.2265,-0.0527,0.2272,i
61376.2887,0.0762,0.1355,r
61376.2887,0.081,0.1996,i
61397.5061,-0.2605,1.5356,y
61415.6924,-0.1496,0.1961,r
61415.6924,-0.3449,0.3203,i
61436.9099,0.0609,0.4574,u
61436.9099,-0.1698,0.1482,g
61449.0341,-0.0033,0.137,r
61449.0341,-0.1784,0.2704,i
61455.0962,-0.9106,1.3699,y
61470.2515,0.1563,0.2737,u
61470.2515,0.0557,0.0968,g
61473.2826,0.1105,0.2652,u
61476.3136,-0.1802,0.2759,i
61485.4068,0.0984,0.3768,i
61494.5,0.3219,0.5282,z
61500.5621,0.3789,0.3468,u
61500.5621,0.1183,0.1138,g
61524.8106,0.0208,0.2265,r
61712.7363,-0.275,0.2296,i
61782.4506,0.0204,0.8147,z
61782.4506,0.4023,1.7397,y
61788.5127,-0.1039,0.2327,r
61788.5127,-0.4425,0.3186,i
61800.637,0.1506,0.2617,u
61800.637,0.202,0.3736,i
61812.7612,0.0316,0.5754,z
61812.7612,-1.5091,1.2202,y
61818.8233,-0.1133,0.1902,r
61818.8233,-0.6716,0.2863,i
61861.2582,-0.4179,0.4479,u
61861.2582,0.1665,0.1876,g
62043.1217,2.9923,0.4946,i
62058.277,2.6829,0.1511,r
62067.3702,2.9691,0.2964,r
62067.3702,3.2866,0.4029,i
62073.4323,3.4007,0.3309,r
62073.4323,3.5659,0.2947,i
62076.4634,3.3786,0.2557,r
62076.4634,3.9311,0.282,i
62094.6497,4.2444,0.2908,i
62146.1777,0.3786,0.3923,u
62146.1777,2.0747,0.1237,r
62155.2709,0.6529,0.1191,g
62155.2709,1.9651,0.278,i
62158.302,1.8633,0.1439,i
62167.3952,1.9203,0.9351,z
62167.3952,4.3754,2.728,y
62203.7679,-0.2684,0.3571,i
62209.83,0.4057,0.9923,u
62209.83,0.5342,0.3038,r
62455.3458,-0.5874,0.5197,i
62506.8738,0.2433,0.3427,u
62506.8738,0.489,0.2125,r
62515.967,0.3273,0.2848,r
62534.1533,0.8098,0.251,r
62558.4018,-0.0307,0.2368,g
62558.4018,-0.464,0.5182,r
62573.5571,0.1356,0.1799,r
62573.5571,0.1085,0.2292,i
62819.0729,0.2023,0.2782,r
62819.0729,0.2397,0.3601,i
62834.2282,0.2066,0.419,u
62834.2282,0.1925,0.1392,g
62834.2282,-0.0241,0.1476,r
62855.4456,0.1183,0.2987,i
62858.4767,-0.0873,0.4356,u
62858.4767,0.1726,0.0996,g
62864.5388,0.1876,0.4925,u
62864.5388,0.031,0.1225,g
62885.7562,0.2573,0.2317,r
62885.7562,0.0308,0.4326,i
62900.9115,-0.3101,1.0805,y
62903.9426,0.3273,0.5293,i
62903.9426,0.1623,0.7981,z
62922.1289,-0.4531,0.3328,r
62922.1289,-0.5467,0.5621,i
62931.2221,0.4183,0.6024,z
63134.3031,0.0731,0.1798,r
63140.3652,1.404,0.502,i
63155.5205,0.6977,0.7367,u
63155.5205,0.2049,0.2336,r
63164.6137,-0.6502,2.2584,y
63191.8932,0.5654,0.5253,i
63191.8932,0.0648,0.615,z
63204.0175,0.0195,0.1652,g
63204.0175,0.1969,0.1704,r
63213.1106,0.4714,0.3623,u
63222.2038,0.0802,0.1771,r
63222.2038,0.1604,0.278,i
63240.3902,0.2182,0.1706,r
63258.5765,0.3959,1.5004,y
63276.7629,0.0174,0.2003,r
63285.8561,-0.1652,0.63,r
63285.8561,-0.3936,0.5811,i
63291.9182,-0.1741,0.2674,i
63297.9803,-0.1808,0.3317,u
63297.9803,0.1611,0.1087,g
63297.9803,-0.6917,0.2394,r
63301.0114,-0.112,0.5101,u
63301.0114,0.1128,0.1393,g
63313.1356,-0.221,0.4063,i
63322.2288,0.0448,0.3143,r
63322.2288,0.029,0.3638,i
63343.4462,-1.2791,0.768,z
63343.4462,-1.0033,2.6976,y
