time,flux,flux_err,band
61631.4793,-2.8548,3.6622,y
61636.3649,-0.1389,0.4505,r
61638.8077,-0.1918,0.4699,z
61638.8077,-1.1946,1.5887,y
61641.2505,-0.3802,0.1668,r
61641.2505,-0.2426,0.2167,i
61648.5789,0.3096,0.111,r
61648.5789,-0.0055,0.1865,i
61655.9074,-0.0683,0.3796,z
61655.9074,1.3437,1.3023,y
61675.4499,-0.0253,0.0596,g
61675.4499,-0.0582,0.0899,r
61687.6639,-0.5571,0.3054,i
61687.6639,-0.2386,0.385,z
61687.6639,0.846,0.8976,y
61690.1067,-0.8507,0.562,z
61690.1067,2.1782,1.2131,y
61692.5495,-0.2803,0.264,i
61692.5495,-0.2873,0.4571,z
61707.2064,0.0277,0.2266,u
61707.2064,0.0061,0.1099,r
61709.6492,0.2775,0.2129,i
61714.5348,0.144,0.1072,r
61714.5348,0.3683,0.1595,i
61721.8633,0.1048,0.2644,i
61721.8633,0.0176,0.4676,z
61734.0773,-0.3093,0.1433,r
61736.5201,-0.4134,0.2705,u
61736.5201,-0.3251,0.1518,g
61746.2914,0.0503,0.2181,r
61746.2914,0.2539,0.2437,i
61746.2914,-0.3962,0.5653,z
61746.2914,0.2206,0.858,y
61753.6198,-0.1411,0.9672,y
61795.1476,0.0688,0.2546,r
61892.86,-0.1491,0.2129,r
61993.0153,0.0939,0.3394,i
61993.0153,1.0558,0.5732,z
62029.6574,0.1189,0.1251,r
62029.6574,0.0892,0.2583,i
62051.6427,0.1029,0.1888,r
62051.6427,0.0021,0.2201,i
62098.0561,0.0848,0.1816,i
62098.0561,0.1632,0.3531,z
62102.9417,-0.2606,0.2863,i
62102.9417,-0.4791,0.39,z
62183.5545,1.8341,1.1462,i
62369.2081,-1.8299,0.9728,y
62391.1934,0.2454,0.6233,u
62391.1934,-0.1932,0.1457,g
62396.079,0.1595,0.2267,i
62396.079,-0.1905,0.3717,z
62398.5218,0.2401,0.8986,y
62415.6215,-0.3216,0.2704,i
62462.0349,-0.4656,0.2579,r
62462.0349,0.1706,0.3433,i
62488.9058,0.428,0.4395,z
62503.5627,0.2439,0.3084,i
62547.5333,1.6085,1.8557,z
62706.316,-0.0487,0.2744,i
62713.6444,0.9683,0.2822,u
62713.6444,0.505,0.151,r
62713.6444,0.3881,0.1859,i
62720.9728,1.1884,1.17,y
62738.0725,14.5953,0.3282,u
62738.0725,9.8373,0.1896,r
62752.7294,6.296,0.9702,y
62760.0578,5.8123,0.3979,z
62762.5006,11.304,0.1375,g
62762.5006,8.6926,0.1443,r
62767.3862,9.466,0.0986,g
62767.3862,6.9573,0.1672,r
62769.8291,10.0362,0.3451,u
62769.8291,6.3683,0.1822,r
62789.3715,1.7437,0.4765,z
62789.3715,0.4651,1.2612,y
62806.4712,1.5255,0.2084,r
62818.6853,0.2429,0.344,i
62818.6853,0.9809,0.6266,z
62826.0137,0.8851,0.3606,i
62833.3421,0.4588,0.329,i
62838.2278,0.3442,0.2452,i
62838.2278,0.4005,0.3673,z
62840.6706,-0.7835,1.2331,y
62843.1134,0.8584,0.504,z
62845.5562,1.9869,2.1359,y
62862.6559,-0.0256,0.2335,i
62865.0987,0.2798,0.3719,u
62867.5415,0.8285,0.4478,z
63001.8961,0.2343,0.4183,i
63050.7523,2.5293,1.4013,y
63065.4092,-0.2365,0.5113,u
63065.4092,0.1252,0.109,g
63067.852,-0.1206,0.2454,i
63072.7376,0.4222,0.1477,r
63089.8373,0.0049,0.2969,z
63104.4941,0.1134,0.1757,g
63104.4941,0.3119,0.1818,r
63106.9369,-1.1992,1.0111,y
63111.8226,0.1403,0.4708,z
63119.151,0.4193,0.1834,r
63119.151,-0.2317,0.2275,i
63141.1363,-0.119,0.6162,z
63143.5791,-0.1182,0.1318,g
63143.5791,0.0135,0.1433,r
63177.7784,0.3391,0.0664,g
63177.7784,0.4558,0.1183,r
63189.9925,0.0738,0.1583,r
63356.1036,-0.4781,0.8478,z
63461.1445,-0.6508,1.0856,y
63463.5873,1.0306,2.3486,y
63488.0154,-0.2132,0.3817,z
63490.4582,0.0155,0.2748,i
63490.4582,0.1094,0.3284,z
63495.3438,0.3,0.3232,i
63495.3438,0.454,0.7034,z
63507.5579,-0.2254,0.1553,g
63507.5579,-0.3772,0.2793,r
63512.4435,-0.0937,0.1461,r
63512.4435,-0.0794,0.1973,i
63514.8863,-0.0142,0.2862,u
63514.8863,0.1479,0.1359,g
63524.6576,-0.5587,0.5847,z
63531.986,0.1233,0.1171,r
63534.4288,-0.3313,0.1329,r
63556.4141,0.3027,0.35,i
63556.4141,-0.3495,0.5186,z
63568.6282,0.0685,0.1851,r
63590.6135,0.2194,0.1895,r
63644.3553,-0.7463,0.9135,r
63803.138,0.1995,0.2182,i
63805.5808,0.1974,0.1495,r
63810.4664,-0.3875,0.2082,i
63810.4664,0.238,0.4825,z
63817.7949,-0.5739,0.3944,i
63817.7949,-0.643,0.5791,z
63822.6805,-0.3842,1.4795,y
63825.1233,0.0803,0.2559,r
63825.1233,-0.3712,0.3438,i
63827.5661,-0.1678,0.2087,i
63827.5661,0.0695,0.4507,z
63834.8945,-0.1368,0.2107,r
63834.8945,0.2773,0.2461,i
63844.6658,-0.0097,0.1552,g
63844.6658,0.0294,0.1505,r
63847.1086,-0.1083,0.3352,i
63847.1086,-0.3837,0.5794,z
63849.5514,1.0799,0.5487,z
63849.5514,-0.2497,1.0451,y
63861.7654,-0.0013,0.263,u
63861.7654,0.0598,0.1277,g
63869.0939,-0.0361,0.2999,u
63871.5367,0.3906,0.2706,i
63873.9795,-0.0296,0.3438,i
63873.9795,-0.0732,0.4482,z
63876.4223,-0.2067,0.9672,i
63876.4223,-0.701,0.9901,z
63891.0792,-0.0553,0.1358,r
63898.4076,-0.1357,0.2011,i
63903.2932,0.2282,0.2114,i
63903.2932,0.2703,0.3078,z
63908.1788,0.6413,0.516,z
63908.1788,-1.5682,1.1565,y
63915.5073,-0.1213,0.1316,r
63922.8357,0.1927,0.3195,u
63922.8357,-0.0025,0.094,g
63922.8357,0.7873,0.3276,i
63925.2785,-0.0023,0.2368,i
63935.0498,-2.2972,1.118,y
63947.2638,0.022,0.3353,u
63947.2638,0.0769,0.1151,g
63949.7066,-0.0423,0.2313,i
