time,flux,flux_err,band
62740.491,-0.1272,0.2797,z
62750.2497,-0.0579,0.1534,r
62752.6894,0.8015,0.8894,y
62755.1291,-0.5797,0.4974,z
62755.1291,-0.2786,0.8587,y
62772.2069,-0.1397,0.1206,r
62772.2069,-0.0344,0.1817,i
62796.6037,0.132,0.286,u
62818.5609,0.8935,0.9108,y
62821.0006,0.0106,0.1747,r
62838.0783,0.2093,0.1467,r
62838.0783,0.3929,0.2093,i
62840.518,-0.4751,0.5576,z
62840.518,-1.6699,1.0525,y
62847.8371,0.0802,0.4173,z
62867.3545,0.1521,0.1938,r
62867.3545,-0.5318,0.2714,i
62881.9926,-0.656,0.201,r
62881.9926,0.6425,1.6851,y
62886.872,-0.0195,0.3751,u
62886.872,-0.166,0.2006,r
62899.0704,3.017,1.4359,y
62901.5101,-0.6854,1.0458,y
62903.9498,0.6235,0.5392,i
62906.3895,-1.4981,0.5557,i
62906.3895,-0.065,0.6367,z
63055.2101,0.23,0.3934,i
63067.4085,-0.2476,0.5636,z
63072.2879,0.2159,0.1594,r
63096.6847,-0.0497,0.1528,r
63101.5641,0.1785,0.2064,r
63101.5641,0.2082,0.3067,i
63106.4435,0.1374,0.3811,z
63106.4435,0.1832,1.2784,y
63111.3228,-0.0914,0.3578,i
63111.3228,0.7775,0.5394,z
63152.7974,0.1467,0.1814,r
63186.953,-0.2079,0.2738,u
63186.953,-0.0833,0.1024,g
63191.8324,0.2585,0.9414,y
63206.4705,0.135,0.1308,r
63208.9102,-0.22,0.1113,r
63225.9879,0.1985,0.5786,z
63445.5594,-0.3957,0.233,i
63452.8785,0.1676,0.4853,u
63452.8785,-0.2918,0.1311,g
63477.2753,-0.0274,0.1149,r
63477.2753,-0.0667,0.195,i
63479.715,-0.5257,0.3481,u
63479.715,0.0433,0.0975,g
63484.5943,0.04,0.3235,u
63484.5943,-0.161,0.0895,g
63494.3531,0.2538,0.4794,z
63494.3531,0.1515,1.1343,y
63545.5864,-0.0998,0.2443,i
63574.8626,-0.4017,0.225,i
63574.8626,0.2795,0.3809,z
63596.8198,0.0492,0.2579,u
63596.8198,0.3647,0.1648,r
63831.0293,0.0056,0.121,r
63831.0293,-0.0975,0.1725,i
63833.469,0.5426,1.4079,z
63840.7881,-0.1917,0.3873,z
63860.3055,1.8959,0.1351,r
63870.0643,2.5978,0.1446,r
63870.0643,3.4421,0.2741,i
63872.5039,4.0306,0.5202,z
63874.9436,3.7941,0.4204,z
63874.9436,3.0922,0.9002,y
63882.2627,3.1065,0.3338,i
63882.2627,3.0187,0.4138,z
63882.2627,3.7337,1.3654,y
63887.142,2.0074,0.1232,r
63887.142,3.139,0.1967,i
63894.4611,0.1102,0.2623,u
63894.4611,0.7747,0.0943,g
63899.3404,1.5132,0.1741,r
63899.3404,2.6577,0.2551,i
63904.2198,3.5495,0.4757,z
63916.4182,1.443,0.2066,r
63923.7373,1.3141,0.1016,r
63923.7373,1.4923,0.1502,i
63928.6166,0.0735,0.2568,u
63928.6166,0.3992,0.0978,g
63928.6166,1.0088,0.1699,r
63928.6166,2.1604,0.3692,z
63938.3754,1.9117,0.4823,z
63938.3754,4.1741,1.003,y
63943.2547,1.4768,0.1999,i
63945.6944,1.0371,0.1114,r
63950.5738,0.7008,0.1206,r
63950.5738,1.339,0.1617,i
63965.2119,0.6773,0.6646,z
63965.2119,0.0773,1.9792,y
63970.0913,0.3303,0.1696,r
63987.169,1.4927,0.5491,i
63994.4881,0.4141,0.5604,i
64135.9897,1.2338,0.6983,z
64165.2659,0.5133,0.5229,z
64167.7056,0.0205,0.1578,r
64172.5849,0.1694,2.2562,y
64187.223,0.185,0.1872,r
64187.223,-0.3118,0.2158,i
64257.9739,-0.3177,0.7946,y
64555.6152,0.0827,0.4694,z
64555.6152,-1.1826,0.9347,y
64560.4945,-0.9408,0.4062,z
64560.4945,-0.1094,0.7345,y
64572.693,-0.136,0.31,u
64572.693,-0.2843,0.1226,r
64575.1326,-0.2313,0.3167,u
64582.4517,-0.8001,0.434,i
64582.4517,-0.4106,0.617,z
64587.3311,-2.4217,1.8731,z
64587.3311,2.4874,3.0491,y
64611.7279,-0.2658,0.1797,i
64623.9263,0.0002,0.0892,g
64623.9263,-0.0283,0.1225,r
64628.8057,-0.0931,0.148,r
