cutoff,cutoff_days,n,n_pos,prevalence,pr_auc,roc_auc,f1,precision,recall,f1_best,threshold_best,threshold,median_obs_seen,n_empty,mode,seed,fold,best_epoch
-50d,-50.0,487,24,0.049281314168377825,0.09511547583815998,0.6446184305255579,0.14634146341463414,0.08287292817679558,0.625,0.1941747572815534,0.5144156217575073,0.5,72.0,1,scratch,0,0,4
-20d,-20.0,487,24,0.049281314168377825,0.06989649983308516,0.5804535637149029,0.13245033112582782,0.07874015748031496,0.4166666666666667,0.15037593984962408,0.5036702752113342,0.5,75.0,0,scratch,0,0,4
-10d,-10.0,487,24,0.049281314168377825,0.12845915758873408,0.6027717782577393,0.1702127659574468,0.11428571428571428,0.3333333333333333,0.18666666666666668,0.5036702752113342,0.5,76.0,0,scratch,0,0,4
+0d,0.0,487,24,0.049281314168377825,0.09207118773264167,0.6541576673866091,0.0625,0.125,0.041666666666666664,0.174496644295302,0.46023714542388916,0.5,79.0,0,scratch,0,0,4
+20d,20.0,487,24,0.049281314168377825,0.05261252440497707,0.5240280777537797,0.0,0.0,0.0,0.11038961038961038,0.4423753619194031,0.5,81.0,0,scratch,0,0,4
+50d,50.0,487,24,0.049281314168377825,0.04112876890818041,0.42332613390928725,0.0,0.0,0.0,0.09978308026030368,0.42959266901016235,0.5,85.0,0,scratch,0,0,4
+100d,100.0,487,24,0.049281314168377825,0.04905332342006746,0.4640928725701944,0.045454545454545456,0.05,0.041666666666666664,0.10191082802547771,0.43172216415405273,0.5,91.0,0,scratch,0,0,4
full,,487,24,0.049281314168377825,0.06333739865742169,0.6289596832253419,0.11255411255411256,0.06280193236714976,0.5416666666666666,0.14652014652014653,0.4926829934120178,0.5,152.0,0,scratch,0,0,4
-50d,-50.0,486,23,0.047325102880658436,0.1148675268851305,0.7165931073340219,0.12751677852348994,0.06909090909090909,0.8260869565217391,0.23529411764705882,0.5697116851806641,0.5,76.0,2,scratch,0,1,6
-20d,-20.0,486,23,0.047325102880658436,0.06988641641368606,0.6511409522020847,0.12274368231046931,0.06692913385826772,0.7391304347826086,0.13414634146341464,0.47266238927841187,0.5,80.0,1,scratch,0,1,6
-10d,-10.0,486,23,0.047325102880658436,0.08485517797000386,0.6809090055404263,0.1297709923664122,0.07112970711297072,0.7391304347826086,0.1728395061728395,0.5491253733634949,0.5,81.0,1,scratch,0,1,6
+0d,0.0,486,23,0.047325102880658436,0.11404666074900208,0.6816602497887125,0.1452513966480447,0.08333333333333333,0.5652173913043478,0.15384615384615383,0.5020207762718201,0.5,84.0,0,scratch,0,1,6
+20d,20.0,486,23,0.047325102880658436,0.06639751055385923,0.6471030143675462,0.10256410256410256,0.06015037593984962,0.34782608695652173,0.1350210970464135,0.4895395040512085,0.5,87.0,0,scratch,0,1,6
+50d,50.0,486,23,0.047325102880658436,0.055633862116855205,0.5983660437599775,0.09852216748768473,0.05555555555555555,0.43478260869565216,0.13333333333333336,0.4703403115272522,0.5,92.0,0,scratch,0,1,6
+100d,100.0,486,23,0.047325102880658436,0.05689321604653698,0.6086956521739131,0.12648221343873517,0.06956521739130435,0.6956521739130435,0.13818181818181818,0.4954637885093689,0.5,97.0,0,scratch,0,1,6
full,,486,23,0.047325102880658436,0.11561938974376718,0.7673020940933422,0.14035087719298245,0.07633587786259542,0.8695652173913043,0.20895522388059704,0.568453311920166,0.5,152.0,0,scratch,0,1,6
-50d,-50.0,488,24,0.04918032786885246,0.13800123979024978,0.7639188218390804,0.16393442622950818,0.09090909090909091,0.8333333333333334,0.2696629213483146,0.7098876237869263,0.5,72.0,5,scratch,0,2,33
-20d,-20.0,488,24,0.04918032786885246,0.13411992130896336,0.7561961206896552,0.15767634854771784,0.08755760368663594,0.7916666666666666,0.2608695652173913,0.7007665038108826,0.5,75.0,1,scratch,0,2,33
-10d,-10.0,488,24,0.04918032786885246,0.13372145096116939,0.7540409482758621,0.16101694915254236,0.08962264150943396,0.7916666666666666,0.275,0.7007665038108826,0.5,76.0,1,scratch,0,2,33
+0d,0.0,488,24,0.04918032786885246,0.18862328915465415,0.7549389367816092,0.1643835616438356,0.09230769230769231,0.75,0.2823529411764706,0.6722017526626587,0.5,78.0,0,scratch,0,2,33
+20d,20.0,488,24,0.04918032786885246,0.14905370735301143,0.7526041666666666,0.1643835616438356,0.09230769230769231,0.75,0.30769230769230765,0.6864572167396545,0.5,82.0,0,scratch,0,2,33
