spectype,original_-20d,original_full,full_plasticc_-20d,full_plasticc_full,n_objects
AGN,0.1382494656317154,0.12310334177996121,0.10298902204213974,0.07011933183713932,1431
SN Ia,0.5920264245655361,0.28593356892029587,0.579122641383113,0.0972729160370359,629
SN II,0.5459650925728216,0.2869161025371922,0.5283863099655564,0.20591423323989522,129
TDE,0.6050178356268733,0.7490574914967315,0.6536468897964595,0.8290938271688413,118
SN IIn,0.5691887305903376,0.6655848934589064,0.6095074250855866,0.5916031005623403,34
SN Ic,0.4959110138463039,0.1842817301164591,0.47457310130052704,0.30112027408989994,17
SN Ia-91T-like,0.6334052703404311,0.18609775948737345,0.60183079558469,0.07746461714573555,14
SLSN-I,0.5878712340737834,0.6919050212159301,0.7087318436665968,0.5118119312506734,11
SN Ic-BL,0.5843864763776462,0.3496958429304262,0.5977664922674497,0.044784730395379745,10
SLSN-II,0.28756548756306677,0.32592238370853005,0.2220493191416608,0.3240066609141649,8
SN IIb,0.4745629098421584,0.27116272167768324,0.4852345158949826,0.10681267864371569,8
SN Ia-pec,0.47465061360881444,0.12989322912125356,0.3893889368600434,0.1244833315306875,7
SN Ib,0.6056675016880035,0.21952876372129784,0.6135971333299365,0.23310839712974568,7
SN IIP,0.6376147237088945,0.4243019074201584,0.6693774279620912,0.3679265910888918,6
SN Iax[02cx-like],0.5922023322847154,0.19062045589089388,0.7406673365169101,0.27750851317412323,3
SN Ia-91bg-like,0.40908242544780177,0.4541899512211482,0.34271419334496994,0.036182313847045046,2
