mallorn_mode,metric,cutoff,delta_mean,delta_seed0,delta_seed1,delta_seed2,seeds_improved,baseline_seed_std
frozen,pr_auc,-50d,0.033610785333071755,0.034422058519556195,0.03134331861117129,0.03506697886848778,3,0.005582446483736453
frozen,pr_auc,-20d,0.03951496922001305,0.047048739302656684,0.03254623184553379,0.03894993651184869,3,0.005767093478143672
frozen,pr_auc,-10d,0.05307232925008678,0.052589415877142304,0.054795888575845914,0.05183168329727211,3,0.012224246300342545
frozen,pr_auc,+0d,0.08214191318141474,0.08777315396908031,0.07900819034198239,0.07964439523318151,3,0.0032457242785244294
frozen,pr_auc,+20d,0.1920940350992709,0.20816730163808503,0.193715189712438,0.1743996139472896,3,0.00843002018760006
frozen,pr_auc,+50d,0.2198860212688507,0.22263046610067,0.22825401296234904,0.20877358474353314,3,0.0063387356326816855
frozen,pr_auc,+100d,0.26967396963825757,0.25462835099844444,0.28609614995272437,0.26829740796360396,3,0.010701822013046723
frozen,pr_auc,full,0.19357886421726855,0.15227114361808647,0.2183819322194731,0.21008351681424609,3,0.02521669466870808
frozen,roc_auc,-50d,0.022458602890235307,0.020827844618131697,0.023817364831240195,0.022730599221334025,3,0.002705537621822489
frozen,roc_auc,-20d,0.03610171930954409,0.03592547056585005,0.0341343198384122,0.03824536752437002,3,0.0021761425916574247
frozen,roc_auc,-10d,0.03766356371300613,0.03569860367085276,0.038732033605573646,0.03856005386259198,3,0.005102234826957535
frozen,roc_auc,+0d,0.045594147321994925,0.04518310353912369,0.04685533210386117,0.04474400632299991,3,0.005930662626841911
frozen,roc_auc,+20d,0.07952416498346075,0.06904803723544395,0.08698149937062738,0.08254295834431091,3,0.011402562925394382
frozen,roc_auc,+50d,0.05460661768293281,0.045285559556219046,0.0626262404496356,0.05590805304294377,3,0.009502944467574747
frozen,roc_auc,+100d,0.0570509255193545,0.04847267351658335,0.06599997072685215,0.056680132314627985,3,0.009492609008832602
frozen,roc_auc,full,0.056297751822253383,0.04588199994145381,0.0623005766810103,0.06071067884429604,3,0.008024889832648928
finetune,pr_auc,-50d,0.013181193128858631,0.03454863547296069,-0.006416291157019194,0.011411235070634393,2,0.009590257011907025
finetune,pr_auc,-20d,0.026314307030065532,0.036059407310749,0.009926381914537902,0.0329571318649097,3,0.01377506604623753
finetune,pr_auc,-10d,0.039139153550729604,0.0536689022417873,0.022333202589642498,0.041415355820759,3,0.009674885026626959
finetune,pr_auc,+0d,0.09308958596489081,0.10245466575746098,0.06407825681076909,0.11273583532644238,3,0.01348000106968943
finetune,pr_auc,+20d,0.15761939617952603,0.15315639055971703,0.11522431704221647,0.20447748093664458,3,0.02645225286406035
finetune,pr_auc,+50d,0.18866679840646958,0.18416530724525348,0.13889498226527652,0.2429401057088787,3,0.03911113838163871
finetune,pr_auc,+100d,0.226212316456489,0.23332893229913504,0.17874499731107685,0.26656301975925517,3,0.037976764955073995
finetune,pr_auc,full,0.21072023708520438,0.21713346440197306,0.16741547516815009,0.24761177168548992,3,0.05715854829136515
finetune,roc_auc,-50d,0.009246045685625889,0.009832118497702047,-0.002715084453031258,0.020621103012206876,2,0.006679590506516659
finetune,roc_auc,-20d,0.0170052594088775,0.021391352712157086,0.000592781241766871,0.029031644272708546,3,0.0077782686765189004
finetune,roc_auc,-10d,0.03193090561361386,0.033978806241035,0.021369397851350835,0.04044451274845573,3,0.004884607504970627
finetune,roc_auc,+0d,0.05381380326493179,0.054177278182723,0.038706419601299835,0.06855771201077254,3,0.008811868838510999
finetune,roc_auc,+20d,0.07305723876155068,0.06939199672140728,0.04744811334562815,0.10233160621761661,3,0.01541935053384269
finetune,roc_auc,+50d,0.0677270864436053,0.0575875998946167,0.05457246567723428,0.09102119375896489,3,0.017301784253725097
finetune,roc_auc,+100d,0.06436555331128106,0.057225344691314906,0.051557331459852085,0.08431398378267618,3,0.01581594334237544
finetune,roc_auc,full,0.04748104563683734,0.031029536606071217,0.03384707707619816,0.07756652322824265,3,0.025198633506633622
