cutoff,cutoff_days,n,n_pos,prevalence,pr_auc,roc_auc,f1,precision,recall,f1_best,threshold_best,threshold,median_obs_seen,n_empty,mode,seed
-50d,-50.0,2434,118,0.04847986852917009,0.09313304336071726,0.6793547466409063,0.13691931540342298,0.0757439134355275,0.711864406779661,0.16853932584269662,0.5657375454902649,0.5,72.0,16,scratch,0
-20d,-20.0,2434,118,0.04847986852917009,0.08561407463179999,0.6523740522818419,0.1329639889196676,0.07461139896373056,0.6101694915254238,0.14655172413793105,0.5658532977104187,0.5,75.0,5,scratch,0
-10d,-10.0,2434,118,0.04847986852917009,0.08638800527072833,0.6532559058575569,0.13584117032392895,0.07747318235995232,0.5508474576271186,0.14285714285714285,0.5081411004066467,0.5,76.0,4,scratch,0
+0d,0.0,2434,118,0.04847986852917009,0.0964457190218124,0.6487844325400309,0.13273001508295626,0.08073394495412844,0.3728813559322034,0.1411764705882353,0.4868174195289612,0.5,79.0,0,scratch,0
+20d,20.0,2434,118,0.04847986852917009,0.08348362955418695,0.6287725769151957,0.11356466876971609,0.06976744186046512,0.3050847457627119,0.13151927437641722,0.4792957901954651,0.5,82.0,0,scratch,0
+50d,50.0,2434,118,0.04847986852917009,0.07549536940358553,0.6040257896431603,0.12061711079943899,0.07226890756302522,0.3644067796610169,0.14358974358974358,0.6636378169059753,0.5,87.0,0,scratch,0
+100d,100.0,2434,118,0.04847986852917009,0.08115034554444879,0.611834401803226,0.12740384615384615,0.0742296918767507,0.4491525423728814,0.1346153846153846,0.666393518447876,0.5,91.0,0,scratch,0
full,,2434,118,0.04847986852917009,0.08559801815019652,0.6879994730833405,0.13506916192026036,0.0747074707470747,0.7033898305084746,0.1573770491803279,0.5603779554367065,0.5,149.0,0,scratch,0
-50d,-50.0,2434,118,0.04847986852917009,0.07670153926160506,0.6601369251485611,0.13112491373360938,0.07137490608564989,0.8050847457627118,0.13513513513513514,0.46411019563674927,0.5,72.0,16,scratch,1
-20d,-20.0,2434,118,0.04847986852917009,0.08109118244107132,0.6558282837153478,0.1327857631759069,0.07222635889798958,0.8220338983050848,0.13793103448275862,0.5452776551246643,0.5,75.0,5,scratch,1
-10d,-10.0,2434,118,0.04847986852917009,0.08515388196989358,0.6560917420450221,0.13369713506139155,0.07270029673590504,0.8305084745762712,0.1375,0.5429419875144958,0.5,76.0,4,scratch,1
+0d,0.0,2434,118,0.04847986852917009,0.09258280025669918,0.6721663592986155,0.13496932515337423,0.07338769458858414,0.8389830508474576,0.13741598207617625,0.5274720788002014,0.5,79.0,0,scratch,1
+20d,20.0,2434,118,0.04847986852917009,0.09184784567937679,0.6700001463657387,0.13443072702331962,0.07313432835820896,0.8305084745762712,0.13862928348909656,0.5283010005950928,0.5,82.0,0,scratch,1
+50d,50.0,2434,118,0.04847986852917009,0.07464558990386976,0.6427797781095401,0.13333333333333333,0.07255048616305161,0.8220338983050848,0.1377091377091377,0.4683544635772705,0.5,87.0,0,scratch,1
+100d,100.0,2434,118,0.04847986852917009,0.06670785444323352,0.6378820145780275,0.1327857631759069,0.07222635889798958,0.8220338983050848,0.13793103448275862,0.47405579686164856,0.5,91.0,0,scratch,1
full,,2434,118,0.04847986852917009,0.08524812849965044,0.7025482275109043,0.1476510067114094,0.08094848732624693,0.8389830508474576,0.15166666666666664,0.539996862411499,0.5,149.0,0,scratch,1
-50d,-50.0,2434,118,0.04847986852917009,0.08727100892560655,0.6604699072041218,0.13958125623130607,0.07909604519774012,0.5932203389830508,0.15766423357664233,0.519859790802002,0.5,72.0,16,scratch,2
-20d,-20.0,2434,118,0.04847986852917009,0.07331846718352103,0.6168327917801001,0.13,0.07624633431085044,0.4406779661016949,0.13186813186813187,0.504404604434967,0.5,75.0,5,scratch,2
-10d,-10.0,2434,118,0.04847986852917009,0.08121609510483932,0.6101219226603437,0.13851351351351351,0.08649789029535865,0.3474576271186441,0.14746543778801843,0.537567675113678,0.5,76.0,4,scratch,2
+0d,0.0,2434,118,0.04847986852917009,0.07160702052398714,0.5674636281139311,0.09205020920502092,0.09090909090909091,0.09322033898305085,0.12080536912751678,0.4917350709438324,0.5,79.0,0,scratch,2
+20d,20.0,2434,118,0.04847986852917009,0.05303515291734576,0.5257969614472644,0.023391812865497075,0.03773584905660377,0.01694915254237288,0.10834553440702782,0.46057194471359253,0.5,82.0,0,scratch,2
+50d,50.0,2434,118,0.04847986852917009,0.04359812233538728,0.47105434559878223,0.0,0.0,0.0,0.09756097560975609,0.3776070177555084,0.5,87.0,0,scratch,2
+100d,100.0,2434,118,0.04847986852917009,0.0462140630167623,0.4893482333655338,0.05405405405405406,0.03968253968253968,0.0847457627118644,0.09981515711645103,0.41477134823799133,0.5,91.0,0,scratch,2
full,,2434,118,0.04847986852917009,0.08262805267979978,0.6887386200638155,0.1460373998219056,0.08159203980099503,0.6949152542372882,0.15584415584415584,0.5060538053512573,0.5,149.0,0,scratch,2
-50d,-50.0,2434,118,0.04847986852917009,0.12067269028504023,0.7613964023301426,0.17005545286506468,0.0954356846473029,0.7796610169491526,0.19633943427620634,0.6907531023025513,0.5,72.0,16,frozen,0
-20d,-20.0,2434,118,0.04847986852917009,0.1335666709563347,0.7772057316823278,0.18072289156626506,0.10250569476082004,0.7627118644067796,0.1934477379095164,0.6632516384124756,0.5,75.0,5,frozen,0
-10d,-10.0,2434,118,0.04847986852917009,0.15490865035620213,0.7963320745879805,0.19162995594713655,0.11012658227848102,0.7372881355932204,0.22478386167146971,0.7335964441299438,0.5,76.0,4,frozen,0
+0d,0.0,2434,118,0.04847986852917009,0.20094226199472268,0.8361289189426538,0.23006535947712417,0.13601236476043277,0.7457627118644068,0.2794759825327511,0.663885772228241,0.5,79.0,0,frozen,0
+20d,20.0,2434,118,0.04847986852917009,0.22786755930802272,0.8604219724246949,0.2658959537572254,0.1602787456445993,0.7796610169491526,0.30238726790450926,0.7614511847496033,0.5,82.0,0,frozen,0
+50d,50.0,2434,118,0.04847986852917009,0.3131316270943784,0.9061868797751822,0.32666666666666666,0.2033195020746888,0.8305084745762712,0.43205574912891986,0.8442592620849609,0.5,87.0,0,frozen,0
+100d,100.0,2434,118,0.04847986852917009,0.35060116936314023,0.9110425631568162,0.33807829181494664,0.21396396396396397,0.8050847457627118,0.4582043343653251,0.8014001250267029,0.5,91.0,0,frozen,0
full,,2434,118,0.04847986852917009,0.4706714283425095,0.9248228974561634,0.3522935779816514,0.22482435597189696,0.8135593220338984,0.47916666666666663,0.8359928727149963,0.5,149.0,0,frozen,0
