,,pr_auc,pr_auc,roc_auc,roc_auc,f1,f1,f1_best,f1_best
,,mean,std,mean,std,mean,std,mean,std
mode,cutoff,,,,,,,,
scratch,-50d,0.08570186384930963,0.008327379176105496,0.6666538596645298,0.011000550747683024,0.13587516178944614,0.004323785920553128,0.15377956485149136,0.01703754611248078
scratch,-20d,0.08000790808546411,0.00621897122743629,0.6416783759257633,0.021586111677499433,0.13191658403185816,0.001662200910634758,0.1387836301629405,0.007378831888031138
scratch,-10d,0.08425266078182041,0.0027011688976035044,0.6398231901876409,0.025761103650010664,0.136017272966278,0.002413013562746361,0.14260752688172043,0.004987406006944486
scratch,+0d,0.08687851326749957,0.01336579228133636,0.6294714733175258,0.054958241191205126,0.11991651648045047,0.024158889425517093,0.1331326072639761,0.010840014691736594
scratch,+20d,0.0761222093836365,0.02042667765583758,0.6081898949093997,0.07427230125741165,0.09046240288617761,0.059014372241449384,0.12616469742418054,0.015836034395311636
scratch,+50d,0.06457969388094752,0.01817554097380961,0.5726199711171609,0.09006747537661819,0.08465014804425745,0.0735843818470938,0.1262866189695458,0.025050295830710795
scratch,+100d,0.06469075433481487,0.017555269261652462,0.5796882165822624,0.07931332774834006,0.10474788779460237,0.043984540945585106,0.12412052540486475,0.0211142506198379
scratch,full,0.08449139977654892,0.0016231612655902027,0.6930954402193534,0.008194691894706313,0.14291918948452512,0.006846030336498005,0.15496262389705015,0.002955493367173753
frozen,-50d,0.12152416882947038,0.005582446483736428,0.7597205146219373,0.0027055376218224963,0.1713768149134226,0.0048937575791502845,0.1912085126061469,0.005569009723426052
frozen,-20d,0.1375694249872113,0.005767093478143691,0.7757725671574797,0.0021761425916574247,0.17812655677176834,0.0028665852783162546,0.20302218843101652,0.009345810975386754
frozen,-10d,0.15676714020665497,0.012224246300342578,0.7920935667378979,0.005102234826957539,0.18927639965059687,0.0024102561357995755,0.22352724731736953,0.002462772786030384
frozen,+0d,0.20190191132431165,0.0032457242785244346,0.8303389342622678,0.005930662626841936,0.22316842713473087,0.010861562712568862,0.2763708871492474,0.004400717559714547
frozen,+20d,0.2360499731746876,0.008430020187600076,0.8480223549271586,0.011402562925394419,0.2556259936030971,0.011106353347441344,0.29721448875053885,0.006994680237222218
frozen,+50d,0.3157203753968629,0.006338735632681705,0.8963059726979109,0.009502944467574718,0.3163168652859732,0.01153834839017994,0.40886315924657585,0.020626561859226022
frozen,+100d,0.3401855647252405,0.010701822013046735,0.9016214884419855,0.009492609008832602,0.32958617185134803,0.008632873811733851,0.4376811429364573,0.019116113094500637
frozen,full,0.4418017406961298,0.02521669466870808,0.9156591824985606,0.008024889832648936,0.34229490807862367,0.016053690307849058,0.47270511405445176,0.005642553658937766
finetune,-50d,0.12234146432689226,0.00959025701190703,0.7692361172096835,0.006679590506516661,0.17840260027350408,0.0017790760265212363,0.1998474165091769,0.005429741902390522
finetune,-20d,0.13525043243316942,0.013775066046237502,0.7734758447742553,0.00777826867651889,0.17983465809552768,0.0019763243600616934,0.203477185659798,0.010033221579545143
finetune,-10d,0.14360463769358145,0.009674885026626985,0.7793817023311185,0.004884607504970611,0.18348413278950623,0.004870355203634548,0.21366840477709306,0.00688115143296755
finetune,+0d,0.17592784634629574,0.013480001069689421,0.8002266229520995,0.008811868838511035,0.1920440153729568,0.007590004063261724,0.24412899947740252,0.015218212648037934
finetune,+20d,0.24249803438823103,0.02645225286406036,0.8313720324346477,0.015419350533842652,0.21212074335376416,0.018352790209689558,0.31404614754972265,0.03904349918819757
finetune,+50d,0.2999593093830402,0.0391111383816387,0.8671182049705806,0.01730178425372508,0.2827433815178736,0.04832337814223139,0.40927618234329904,0.051687649090635106
finetune,+100d,0.32503965990821965,0.03797676495507399,0.8749646282798121,0.015815943342375453,0.31596785296318614,0.055956555207112305,0.42667445608506926,0.0445635117469542
finetune,full,0.4172548247808317,0.05715854829136516,0.9007969614472645,0.02519863350663355,0.3585648233092364,0.06869401804206275,0.4878731591662265,0.07588917655614176
