cutoff,cutoff_days,n,n_pos,prevalence,pr_auc,roc_auc,f1,precision,recall,f1_best,threshold_best,threshold,median_obs_seen,n_empty,mode,seed,fold,best_epoch
-50d,-50.0,487,24,0.049281314168377825,0.1563704208196037,0.7235421166306696,0.1875,0.10714285714285714,0.75,0.19626168224299065,0.3864573836326599,0.5,72.0,1,frozen,0,0,29
-20d,-20.0,487,24,0.049281314168377825,0.240397739527699,0.7939164866810655,0.2057142857142857,0.11920529801324503,0.75,0.26666666666666666,0.9182306528091431,0.5,75.0,0,frozen,0,0,29
-10d,-10.0,487,24,0.049281314168377825,0.2788301433376197,0.8175845932325414,0.19161676646706588,0.11188811188811189,0.6666666666666666,0.30434782608695654,0.8080463409423828,0.5,76.0,0,frozen,0,0,29
+0d,0.0,487,24,0.049281314168377825,0.3531330334535875,0.8655507559395248,0.2518518518518518,0.15315315315315314,0.7083333333333334,0.4444444444444444,0.8885259628295898,0.5,79.0,0,frozen,0,0,29
+20d,20.0,487,24,0.049281314168377825,0.45067256559671315,0.9361951043916487,0.4444444444444444,0.30303030303030304,0.8333333333333334,0.5151515151515152,0.648060142993927,0.5,81.0,0,frozen,0,0,29
+50d,50.0,487,24,0.049281314168377825,0.5550984912605653,0.9545536357091433,0.5121951219512195,0.3620689655172414,0.875,0.6557377049180328,0.7290761470794678,0.5,85.0,0,frozen,0,0,29
+100d,100.0,487,24,0.049281314168377825,0.6079400834615735,0.9684125269978402,0.5384615384615384,0.3888888888888889,0.875,0.6222222222222222,0.9053669571876526,0.5,91.0,0,frozen,0,0,29
full,,487,24,0.049281314168377825,0.5714981364394025,0.9728221742260619,0.5833333333333334,0.4375,0.875,0.7083333333333334,0.8422768115997314,0.5,152.0,0,frozen,0,0,29
-50d,-50.0,486,23,0.047325102880658436,0.2481947485881465,0.8392337308667479,0.22099447513812154,0.12658227848101267,0.8695652173913043,0.26666666666666666,0.7650417685508728,0.5,76.0,2,frozen,0,1,52
-20d,-20.0,486,23,0.047325102880658436,0.22213104661859256,0.8418630857357497,0.24242424242424243,0.14084507042253522,0.8695652173913043,0.25882352941176473,0.6995677947998047,0.5,80.0,1,frozen,0,1,52
-10d,-10.0,486,23,0.047325102880658436,0.21794813692008203,0.8479669452530754,0.23943661971830985,0.14285714285714285,0.7391304347826086,0.28571428571428575,0.8321056962013245,0.5,81.0,1,frozen,0,1,52
+0d,0.0,486,23,0.047325102880658436,0.285989899648736,0.8916330171847122,0.29508196721311475,0.18181818181818182,0.782608695652174,0.42666666666666664,0.7424315214157104,0.5,84.0,0,frozen,0,1,52
+20d,20.0,486,23,0.047325102880658436,0.4786034741011822,0.9297586627852381,0.42696629213483145,0.2878787878787879,0.8260869565217391,0.5538461538461539,0.7232153415679932,0.5,87.0,0,frozen,0,1,52
