cutoff,cutoff_days,n,n_pos,prevalence,pr_auc,roc_auc,f1,precision,recall,f1_best,threshold_best,threshold,median_obs_seen,n_empty,mode,seed
-50d,-50.0,2434,118,0.04847986852917009,0.15509474880459642,0.7822242469482743,0.19821605550049554,0.1122334455667789,0.847457627118644,0.20080321285140562,0.5136922001838684,0.5,72.0,16,frozen,0
-20d,-20.0,2434,118,0.04847986852917009,0.18061541025899142,0.8131312022481778,0.21007502679528403,0.12024539877300613,0.8305084745762712,0.25482625482625487,0.7997015118598938,0.5,75.0,5,frozen,0
-10d,-10.0,2434,118,0.04847986852917009,0.20749806623334444,0.8320306782588333,0.2164705882352941,0.12568306010928962,0.7796610169491526,0.31060606060606066,0.805833101272583,0.5,76.0,4,frozen,0
+0d,0.0,2434,118,0.04847986852917009,0.2887154159638029,0.8813120224817775,0.2741702741702742,0.16521739130434782,0.8050847457627118,0.3641791044776119,0.7965418100357056,0.5,79.0,0,frozen,0
+20d,20.0,2434,118,0.04847986852917009,0.43603486094610777,0.9294700096601387,0.42411642411642414,0.2809917355371901,0.864406779661017,0.4856230031948881,0.763740062713623,0.5,82.0,0,frozen,0
+50d,50.0,2434,118,0.04847986852917009,0.5357620931950484,0.9514724393314012,0.4858490566037736,0.3366013071895425,0.8728813559322034,0.5974842767295597,0.7456778883934021,0.5,87.0,0,frozen,0
+100d,100.0,2434,118,0.04847986852917009,0.6052295203615846,0.9595152366733996,0.5417721518987342,0.3862815884476534,0.9067796610169492,0.6148867313915858,0.7334169149398804,0.5,91.0,0,frozen,0
full,,2434,118,0.04847986852917009,0.622942571960596,0.9707048973976171,0.5835694050991501,0.43829787234042555,0.8728813559322034,0.6586345381526105,0.839918851852417,0.5,149.0,0,frozen,0
-50d,-50.0,2434,118,0.04847986852917009,0.14775969737254757,0.780416630075232,0.19291338582677164,0.1091314031180401,0.8305084745762712,0.1958041958041958,0.5120388269424438,0.5,72.0,16,frozen,1
-20d,-20.0,2434,118,0.04847986852917009,0.16750803858762248,0.807402813149498,0.20917822838847386,0.11965811965811966,0.8305084745762712,0.23715415019762845,0.8088293075561523,0.5,75.0,5,frozen,1
-10d,-10.0,2434,118,0.04847986852917009,0.2003744476148069,0.8251624659699657,0.2199074074074074,0.12734584450402145,0.8050847457627118,0.2801556420233463,0.812004029750824,0.5,76.0,4,frozen,1
+0d,0.0,2434,118,0.04847986852917009,0.2782524064561925,0.8711322853546442,0.2636103151862464,0.15862068965517243,0.7796610169491526,0.36516853932584264,0.793464720249176,0.5,79.0,0,frozen,1
+20d,20.0,2434,118,0.04847986852917009,0.4292900454945584,0.9249692631948714,0.4214876033057851,0.2786885245901639,0.864406779661017,0.48253968253968255,0.7602950930595398,0.5,82.0,0,frozen,1
+50d,50.0,2434,118,0.04847986852917009,0.5393397359385101,0.949858757062147,0.48130841121495327,0.33225806451612905,0.8728813559322034,0.5856697819314642,0.7433133721351624,0.5,87.0,0,frozen,1
+100d,100.0,2434,118,0.04847986852917009,0.6153149732710272,0.958058897573256,0.5263157894736842,0.3736654804270463,0.8898305084745762,0.6254071661237784,0.7487061023712158,0.5,91.0,0,frozen,1
full,,2434,118,0.04847986852917009,0.6490332683771618,0.9721868505020345,0.5667574931880109,0.41767068273092367,0.8813559322033898,0.6597222222222223,0.7230724692344666,0.5,149.0,0,frozen,1
-50d,-50.0,2434,118,0.04847986852917009,0.16255041631048245,0.7838964755130118,0.1938061938061938,0.10985277463193659,0.8220338983050848,0.19681908548707752,0.49567434191703796,0.5,72.0,16,frozen,2
-20d,-20.0,2434,118,0.04847986852917009,0.18312973377505923,0.8150888440033958,0.21030042918454936,0.12039312039312039,0.8305084745762712,0.2631578947368421,0.8187934756278992,0.5,75.0,5,frozen,2
-10d,-10.0,2434,118,0.04847986852917009,0.22164589452207387,0.8320782471239132,0.22041763341067286,0.12768817204301075,0.8050847457627118,0.27983539094650206,0.8306256532669067,0.5,76.0,4,frozen,2
+0d,0.0,2434,118,0.04847986852917009,0.28516365109718367,0.8753549369163666,0.26382978723404255,0.15843270868824533,0.788135593220339,0.3532934131736527,0.7913463115692139,0.5,79.0,0,frozen,2
