,,pr_auc,pr_auc,roc_auc,roc_auc,f1,f1,f1_best,f1_best
,,mean,std,mean,std,mean,std,mean,std
mode,cutoff,,,,,,,,
frozen,-50d,0.15513495416254217,0.007395441435665086,0.7821791175121726,0.00174036161966739,0.19497854504448697,0.0028390811870398257,0.197808831380893,0.0026423929609951957
frozen,-20d,0.17708439420722435,0.008388110389156397,0.8118742864670239,0.003994201488714899,0.2098512281227691,0.0005936312332102439,0.2517127665869085,0.013278517962392575
frozen,-10d,0.20983946945674173,0.010827291451377417,0.829757130450904,0.0039791672456091715,0.2189318763511248,0.0021467503430648563,0.2901990311919697,0.017673731278899082
frozen,+0d,0.28404382450572635,0.0053206344250744985,0.8759330815842628,0.005114435495452782,0.26720345886352104,0.006034436894503788,0.3608803523257024,0.006589080330547044
frozen,+20d,0.4281440082739585,0.008521864119376693,0.9275465199106193,0.0023205038506223007,0.4176206973127794,0.009070049259638684,0.4785650510890127,0.009678075300121276
frozen,+50d,0.5356063966657135,0.0038135720135663645,0.9509125903808436,0.0009132404029064538,0.4828796497667361,0.0025730373204003224,0.5833774172691472,0.01538169320017129
frozen,+100d,0.609859534363498,0.005093140956546758,0.95867241396134,0.0007547628344806004,0.5247434825049748,0.01786678555536684,0.6134312991717881,0.012765960003859402
frozen,full,0.6353806049133983,0.0130876890753856,0.9719569343208141,0.0011543805088910287,0.5703911530445739,0.011789169847650688,0.6608262992598043,0.002905628325550428
finetune,-50d,0.13552265745575087,0.011542843070630656,0.7784821628953095,0.005065938877643114,0.19513610408429874,0.0018420609348916768,0.19860366646761674,0.000707798204290521
finetune,-20d,0.16156473946323494,0.0009838313335537683,0.7904811041831327,0.0069673656508082785,0.19732152710363934,0.002456703418215715,0.20215456314339772,0.0032107951286688874
finetune,-10d,0.18274379124431106,0.006327101250343118,0.8113126079447323,0.006237019432734611,0.20422038066813422,0.0034605642725953874,0.226507552446742,0.012421777743806595
finetune,+0d,0.2690174323111865,0.012201034780287915,0.8540404262170312,0.006720391300469106,0.24607931443779918,0.008581460194930786,0.3533256841573271,0.001080127247421481
finetune,+20d,0.40011743056775706,0.02011180798438883,0.9044292711961983,0.01243703534625599,0.38564783509299355,0.02556482155120764,0.44190276250894583,0.006724617858256942
finetune,+50d,0.48862610778950977,0.013686596969453622,0.9348452914141858,0.0033982924596616163,0.48367318650403296,0.013013080906242145,0.5433251592451928,0.006654020518033352
finetune,+100d,0.5512519763647087,0.010774468973429131,0.9393301815910933,0.0027454900753008664,0.5110822670861915,0.014346477899858543,0.591143931298903,0.010793115497540638
finetune,full,0.627975061866036,0.01713647761721003,0.9482780070841018,0.0033169605731678442,0.5508494761052901,0.022117469622215828,0.6534338822755351,0.0010935035519272116
